13.2122, 21.4382, 22.8734
14.0529, 21.9049, 25.1835
14.8686, 22.0741, 27.6962
15.6341, 21.8798, 30.3666
16.3195, 21.2627, 33.1272
16.8913, 20.1788, 35.8871
17.3135, 18.6091, 38.5346
17.5504, 16.5688, 40.9449
17.5696, 14.1138, 42.9917
17.3459, 11.3407, 44.563
16.8651, 8.38042, 45.5779
16.127, 5.38364, 46.0007
15.1471, 2.50147, 45.8477
13.9559, -0.134866, 45.1841
12.5964, -2.42986, 44.1128
11.119, -4.33155, 42.7556
9.57657, -5.83037, 41.2348
8.01925, -6.95096, 39.6578
6.49054, -7.74038, 38.1083
5.02509, -8.25639, 36.6434
3.64796, -8.55805, 35.2966
2.37518, -8.69952, 34.0821
1.21504, -8.72697, 33.0008
0.169629, -8.67767, 32.0449
-0.763493, -8.58047, 31.2024
-1.58994, -8.45702, 30.4597
-2.3173, -8.32306, 29.803
-2.95428, -8.18978, 29.2196
-3.51001, -8.06491, 28.6984
-3.99362, -7.95362, 28.23
-4.41394, -7.85923, 27.8066
-4.77927, -7.78371, 27.4219
-5.0973, -7.72805, 27.0707
-5.37507, -7.69259, 26.7493
-5.61894, -7.67718, 26.4547
-5.83458, -7.68132, 26.1846
-6.02706, -7.7043, 25.9374
-6.20083, -7.74523, 25.7121
-6.35978, -7.80309, 25.508
-6.50732, -7.87681, 25.3247
-6.64636, -7.96523, 25.162
-6.77939, -8.06714, 25.0202
-6.90854, -8.18129, 24.8994
-7.03556, -8.30637, 24.7999
-7.16189, -8.44103, 24.7222
-7.28868, -8.58384, 24.6668
-7.41681, -8.7333, 24.634
-7.54692, -8.88786, 24.6245
-7.67942, -9.04585, 24.6385
-7.8145, -9.20551, 24.6764
-7.95217, -9.36498, 24.7384
-8.09223, -9.52231, 24.8245
-8.2343, -9.67545, 24.9348
-8.37783, -9.82222, 25.0689
-8.52213, -9.9604, 25.2263
-8.66631, -10.0877, 25.4062
-8.80936, -10.2018, 25.6073
-8.95014, -10.3004, 25.8284
-9.08735, -10.3811, 26.0675
-9.21962, -10.442, 26.3225
-9.34546, -10.4808, 26.5909
-9.46334, -10.4959, 26.8696
-9.57168, -10.4857, 27.1554
-9.66887, -10.4492, 27.4446
-9.75336, -10.3855, 27.7333
-9.82366, -10.2946, 28.0175
-9.87836, -10.1766, 28.2928
-9.91624, -10.0325, 28.5549
-9.93625, -9.86374, 28.7998
-9.93757, -9.6722, 29.0232
-9.91966, -9.46046, 29.2216
-9.88226, -9.2315, 29.3914
-9.82545, -8.98872, 29.53
-9.74963, -8.73579, 29.6351
-9.65554, -8.47659, 29.705
-9.54424, -8.21506, 29.7387
-9.4171, -7.95513, 29.7361
-9.27576, -7.70054, 29.6973
-9.1221, -7.45479, 29.6234
-8.95817, -7.22107, 29.516
-8.78618, -7.00215, 29.377
-8.60841, -6.80039, 29.2087
-8.42717, -6.61769, 29.0139
-8.24475, -6.45548, 28.7954
-8.06338, -6.31481, 28.5562
-7.88516, -6.19629, 28.2993
-7.7121, -6.10022, 28.0278
-7.54599, -6.02656, 27.7447
-7.38848, -5.97507, 27.4527
-7.24102, -5.94529, 27.1547
-7.10486, -5.93662, 26.8532
-6.98107, -5.94838, 26.5507
-6.87052, -5.97981, 26.2495
-6.77395, -6.03015, 25.9517
-6.6919, -6.09862, 25.6595
-6.6248, -6.18447, 25.3746
-6.57294, -6.28697, 25.099
-6.53649, -6.40545, 24.8344
-6.51556, -6.53925, 24.5825
-6.51016, -6.68774, 24.3449
-6.52023, -6.85034, 24.1232
-6.54565, -7.02644, 23.9191
-6.58627, -7.21544, 23.734
-6.64186, -7.41671, 23.5696
-6.71219, -7.62957, 23.4274
-6.79697, -7.85326, 23.309
-6.89584, -8.0869, 23.216
-7.00843, -8.32951, 23.15
-7.13429, -8.57991, 23.1125
-7.27292, -8.83676, 23.105
-7.42372, -9.09847, 23.1291
-7.58602, -9.36321, 23.1861
-7.75903, -9.62886, 23.2773
-7.94184, -9.89302, 23.4039
-8.1334, -10.1529, 23.5668
-8.33249, -10.4056, 23.7664
-8.53772, -10.6475, 24.0033
-8.7475, -10.875, 24.277
-8.96005, -11.0842, 24.5871
-9.17333, -11.2707, 24.9322
-9.38513, -11.4304, 25.3102
-9.59298, -11.5586, 25.7186
-9.79423, -11.6513, 26.1537
-9.98602, -11.7041, 26.611
-10.1654, -11.7135, 27.0853
-10.3292, -11.6764, 27.5704
-10.4743, -11.5904, 28.0592
-10.5976, -11.4541, 28.5441
-10.6962, -11.2674, 29.0169
-10.7673, -11.0312, 29.4692
-10.8085, -10.7479, 29.8924
-10.8178, -10.4213, 30.2784
-10.7937, -10.0564, 30.6196
-10.7355, -9.6594, 30.9092
-10.643, -9.23747, 31.1416
-10.5168, -8.79846, 31.3126
-10.3583, -8.35062, 31.4196
-10.1694, -7.90222, 31.4614
-9.95292, -7.46124, 31.4386
-9.71217, -7.03509, 31.353
-9.45089, -6.6303, 31.208
-9.17322, -6.25241, 31.0078
-8.88346, -5.90581, 30.7575
-8.58601, -5.59373, 30.4627
-8.28519, -5.31826, 30.1293
-7.98513, -5.08046, 29.7633
-7.6897, -4.88046, 29.3703
-7.40242, -4.71766, 28.956
-7.12639, -4.59084, 28.5255
-6.8643, -4.49837, 28.0833
-6.61838, -4.43835, 27.6337
-6.39045, -4.40874, 27.1804
-6.18192, -4.40745, 26.7268
-5.99384, -4.43249, 26.2757
-5.82691, -4.48197, 25.8296
-5.68157, -4.5542, 25.3908
-5.55803, -4.64767, 24.9614
-5.45628, -4.76112, 24.5431
-5.37621, -4.8935, 24.1376
-5.31755, -5.04397, 23.7464
-5.28, -5.21192, 23.3711
-5.26321, -5.39689, 23.0132
-5.26679, -5.5986, 22.674
-5.29037, -5.81689, 22.3551
-5.3336, -6.05171, 22.058
-5.39615, -6.30307, 21.7843
-5.47773, -6.57101, 21.5358
-5.57807, -6.85558, 21.3142
-5.69696, -7.15675, 21.1217
-5.8342, -7.47443, 20.9601
-5.98959, -7.80838, 20.832
-6.16298, -8.15815, 20.7395
-6.35415, -8.52305, 20.6854
-6.56288, -8.90206, 20.6724
-6.78887, -9.29377, 20.7034
-7.03174, -9.69629, 20.7813
-7.29096, -10.1072, 20.9091
-7.56585, -10.5234, 21.0899
-7.85549, -10.9411, 21.3266
-8.15872, -11.3558, 21.6218
-8.47406, -11.7619, 21.978
-8.79964, -12.1533, 22.3968
-9.13319, -12.5225, 22.8794
-9.47194, -12.8614, 23.4257
-9.8126, -13.1612, 24.0346
-10.1513, -13.4122, 24.7032
-10.4837, -13.6046, 25.4271
-10.8048, -13.7283, 26.1996
-11.1089, -13.7737, 27.0118
-11.3902, -13.7321, 27.8524
-11.6421, -13.5965, 28.7078
-11.8583, -13.3617, 29.5622
-12.0322, -13.0257, 30.398
-12.1576, -12.5895, 31.1966
-12.2287, -12.0578, 31.9387
-12.241, -11.4393, 32.6058
-12.1908, -10.7464, 33.1807
-12.0762, -9.99453, 33.6491
-11.8968, -9.20183, 33.9998
-11.6542, -8.38788, 34.226
-11.3518, -7.57266, 34.3253
-10.9948, -6.77532, 34.2997
-10.5898, -6.01316, 34.1553
-10.1449, -5.30075, 33.9017
-9.66888, -4.64938, 33.5508
-9.171, -4.06682, 33.1162
-8.66056, -3.55736, 32.6123
-8.14646, -3.12216, 32.053
-7.63695, -2.75969, 31.4515
-7.13937, -2.46636, 30.8195
-6.65996, -2.2371, 30.1674
-6.20385, -2.06595, 29.5038
-5.77502, -1.9465, 28.8357
-5.37636, -1.87237, 28.1686
-5.00977, -1.83742, 27.5068
